,street_name,Latitude,Longitude
0,ANG MO KIO AVE 10,1.3676017,103.8568442
1,ANG MO KIO AVE 4,1.3823185,103.8387061
2,ANG MO KIO AVE 5,1.3768247,103.8475557
3,ANG MO KIO AVE 1,1.3643546,103.8436418
4,ANG MO KIO AVE 3,1.3696908,103.8409057
5,ANG MO KIO AVE 9,1.3827747,103.8394374
6,ANG MO KIO AVE 8,1.3784539,103.84742
7,ANG MO KIO AVE 6,1.3832578,103.8441199
8,ANG MO KIO ST 52,1.3730573,103.8507324
9,BEDOK NORTH AVE 4,1.3340399,103.9414261
10,BEDOK NORTH AVE 1,1.3297469,103.9264326
11,BEDOK NORTH RD,1.3313413,103.9337502
12,BEDOK STH AVE 1,1.314061,103.9336214
13,BEDOK RESERVOIR RD,1.3296754,103.9048357
14,CHAI CHEE ST,1.3274218,103.9187437
15,BEDOK NORTH ST 3,1.3339821,103.9303638
16,BEDOK STH RD,1.3198453,103.935962
17,CHAI CHEE AVE,1.325289,103.9232643
18,NEW UPPER CHANGI RD,1.3267815,103.9459389
19,CHAI CHEE DRIVE,1.3258683,103.9193462
20,BISHAN ST 23,1.3569767,103.8479524
21,BEDOK STH AVE 2,1.3247239,103.9371862
22,KIM TIAN RD,1.2846604,103.8293989
23,BEDOK NORTH AVE 3,1.3313564,103.9343617
24,BEDOK RESERVOIR VIEW,1.3376794,103.9350542
25,CHAI CHEE RD,1.326493,103.9235846
26,LENGKONG TIGA,1.323155,103.9134669
27,BEDOK CENTRAL,1.3260581,103.9352645
28,JALAN DAMAI,-5.406307,122.626192
29,BEDOK NORTH AVE 2,1.3313193,103.9303694
30,BEDOK STH AVE 3,1.3264785,103.9440644
31,SIN MING RD,1.3538309,103.8359877
32,SIN MING AVE,1.3603001,103.8320554
33,BISHAN ST 12,1.3480256,103.849829
34,BISHAN ST 13,1.3508769,103.8523645
35,BISHAN ST 22,1.3599872,103.8438395
36,BISHAN ST 24,1.3563979,103.8443817
37,BRIGHT HILL DRIVE,1.3601554,103.8324248
38,SHUNFU RD,1.3513259,103.8400297
39,BUKIT BATOK ST 34,1.3637268,103.7500273
40,BUKIT BATOK ST 51,1.3556782,103.7498154
41,BUKIT BATOK ST 11,1.3499936,103.7423305
42,BUKIT BATOK ST 52,1.3543135,103.7518088
43,BUKIT BATOK ST 21,1.3468302,103.750573
44,BUKIT BATOK EAST AVE 5,1.3548853,103.7541381
45,BUKIT BATOK WEST AVE 6,1.354495,103.7418444
46,BUKIT BATOK CENTRAL,1.3515765,103.7483905
47,BUKIT BATOK WEST AVE 8,1.358546,103.7421969
48,BUKIT BATOK EAST AVE 4,1.3496472,103.7606908
49,BUKIT BATOK ST 31,1.3598218,103.7515796
50,BUKIT BATOK ST 25,1.346703,103.7609439
51,BUKIT BATOK EAST AVE 3,1.3375316,103.7604656
52,BUKIT BATOK WEST AVE 5,1.3564848,103.7480422
53,CANTONMENT RD,1.274558,103.8412735
54,BUKIT BATOK ST 24,1.3426301,103.7567789
55,JALAN BUKIT HO SWEE,1.287298,103.8292451
56,TELOK BLANGAH DRIVE,1.2728382,103.8090889
57,BEO CRES,1.2891495,103.82676999065912
58,TELOK BLANGAH CRES,1.2774161,103.81906217374383
59,TELOK BLANGAH RISE,1.2734284,103.820562
60,TELOK BLANGAH WAY,1.2746254,103.8227681
61,JALAN BUKIT MERAH,1.2860375,103.8088205
62,JALAN KLINIK,1.2880059,103.8288153
63,TELOK BLANGAH HTS,1.2779863,103.8077696
64,BUKIT MERAH VIEW,1.28350915,103.82332492999029
65,INDUS RD,1.2900221,103.8296424
66,BUKIT MERAH LANE 1,1.2859726,103.8041771
67,TELOK BLANGAH ST 31,1.2741667,103.8065407
68,MOH GUAN TER,1.2836697,103.8301452
69,HAVELOCK RD,1.2867631,103.8448641
70,HENDERSON CRES,1.289199,103.8220891
71,BUKIT PURMEI RD,1.2720967,103.8245389
